Time diff;Memory (KB);Thread id
39797107;7240;139881443542784
41541751;7240;139881435150080
44690662;7352;139881443542784
45869576;6528;139881426757376
44673347;6680;139881435150080
40509738;6860;139881426757376
42502716;7088;139881418364672
41868590;7172;139881443542784
38893423;7240;139881443542784
43040077;7240;139881435150080
40236349;7240;139881443542784
41746269;7240;139881418364672
45264733;7352;139881426757376
45903531;6528;139881418364672
45290100;6680;139881426757376
40724312;6860;139881435150080
42942612;7088;139881418364672
42035454;7172;139881435150080
38937919;7240;139881435150080
43064906;7240;139881443542784
40925019;7240;139881418364672
41920140;7240;139881435150080
45827967;7352;139881435150080
46206300;6528;139881426757376
45875011;6680;139881426757376
41100009;6860;139881443542784
43642999;7088;139881426757376
42198249;7172;139881443542784
39600470;7240;139881426757376
43086971;7240;139881418364672
41027175;7240;139881443542784
42222026;7240;139881443542784
46193358;7352;139881426757376
46216488;6528;139881443542784
45979114;6680;139881443542784
41423647;6860;139881443542784
44786886;7088;139881443542784
42485081;7172;139881443542784
39607133;7240;139881435150080
43548667;7240;139881435150080
41411805;7240;139881418364672
42693824;7240;139881435150080
46209353;7352;139881435150080
46926977;6528;139881418364672
46838441;6680;139881435150080
41442776;6860;139881426757376
44906896;7088;139881435150080
43043489;7172;139881426757376
40029974;7240;139881426757376
44067395;7240;139881435150080
41852204;7240;139881435150080
42761516;7240;139881443542784
